Year,Amount,Type of good
2008,"6,21,287",Total transported goods
,,Total transported goods
2009,"6,16,903",Total transported goods
,,Total transported goods
2010,"6,57,874",Total transported goods
,,Total transported goods
2011,"6,58,032",Total transported goods
,,Total transported goods
2012,"6,31,898",Total transported goods
,,Total transported goods
2013,"6,42,236",Total transported goods
,,Total transported goods
2014,"6,40,018",Total transported goods
,,Total transported goods
2015,"6,41,875",Total transported goods
,,Total transported goods
2016,"6,56,562",Total transported goods
,,Total transported goods
2017,"6,66,166",Total transported goods
,,Total transported goods
2018,"6,80,186",Total transported goods
,,Total transported goods
2019,"6,88,995",Total transported goods
,,Total transported goods
2020,"6,84,492",Total transported goods
,,Total transported goods
2021,"7,02,161",Total transported goods
,,Total transported goods
2022,"6,95,112",Total transported goods
,,Total transported goods
2008,"53,262","Products of agriculture, hunting, and forestry; fish and other fishing products"
,,"Products of agriculture, hunting, and forestry; fish and other fishing products"
2009,"61,042","Products of agriculture, hunting, and forestry; fish and other fishing products"
,,"Products of agriculture, hunting, and forestry; fish and other fishing products"
2010,"60,681","Products of agriculture, hunting, and forestry; fish and other fishing products"
,,"Products of agriculture, hunting, and forestry; fish and other fishing products"
2011,"60,575","Products of agriculture, hunting, and forestry; fish and other fishing products"
,,"Products of agriculture, hunting, and forestry; fish and other fishing products"
2012,"60,537","Products of agriculture, hunting, and forestry; fish and other fishing products"
,,"Products of agriculture, hunting, and forestry; fish and other fishing products"
2013,"59,765","Products of agriculture, hunting, and forestry; fish and other fishing products"
,,"Products of agriculture, hunting, and forestry; fish and other fishing products"
2014,"62,045","Products of agriculture, hunting, and forestry; fish and other fishing products"
,,"Products of agriculture, hunting, and forestry; fish and other fishing products"
2015,"57,714","Products of agriculture, hunting, and forestry; fish and other fishing products"
,,"Products of agriculture, hunting, and forestry; fish and other fishing products"
2016,"61,416","Products of agriculture, hunting, and forestry; fish and other fishing products"
,,"Products of agriculture, hunting, and forestry; fish and other fishing products"
