percentage,goods category
1.28,"Agriculture, hunting, and forestry"
0.37,Coal and lignite; crude petroleum and natural gas
-0.04,Metal ores and other mining products
-0.4,"Food products, beverages and tobacco"
0,Textiles and textile products; leather and leather products
0.04,Wood and products of wood and cork (except furniture)
0.16,Coke and refined petroleum products
-0.1,"Chemicals, chemical products"
-0.01,Other non metallic mineral products
-0.02,Basic metals; fabricated metal products
-0.13,Machinery and equipment
-0.21,Transport equipment
0,Furniture; other manufactured goods n.e.c.
0.01,Secondary raw materials; municipal wastes and other wastes
0,"Mail, parcels"
0.14,Equipment and material utilized in the transport of goods
2.57,Other non Market Goods
-0.25,Grouped goods
0.12,Unidentifiable goods
0,Other goods n.e.c.
