year,amount,Goods Category
2015,"41,721",Total transported goods
2016,"42,615",Total transported goods
2017,"41,190",Total transported goods
2018,"41,558",Total transported goods
2019,"42,654",Total transported goods
2020,"40,017",Total transported goods
2021,"42,621",Total transported goods
2022,"44,469",Total transported goods
2015,351,"Agriculture, hunting, and forestry"
2016,236,"Agriculture, hunting, and forestry"
2017,111,"Agriculture, hunting, and forestry"
2018,52,"Agriculture, hunting, and forestry"
2019,54,"Agriculture, hunting, and forestry"
2020,268,"Agriculture, hunting, and forestry"
2021,497,"Agriculture, hunting, and forestry"
2022,612,"Agriculture, hunting, and forestry"
2015,"9,047",Coal and lignite; crude petroleum and natural gas
2016,"9,532",Coal and lignite; crude petroleum and natural gas
2017,"7,237",Coal and lignite; crude petroleum and natural gas
2018,"6,052",Coal and lignite; crude petroleum and natural gas
2019,"8,297",Coal and lignite; crude petroleum and natural gas
2020,"6,998",Coal and lignite; crude petroleum and natural gas
2021,"7,451",Coal and lignite; crude petroleum and natural gas
2022,"9,583",Coal and lignite; crude petroleum and natural gas
2015,"6,295",Metal ores and other mining products
2016,"5,872",Metal ores and other mining products
2017,"6,035",Metal ores and other mining products
2018,"5,950",Metal ores and other mining products
2019,"6,254",Metal ores and other mining products
2020,"4,966",Metal ores and other mining products
2021,"5,317",Metal ores and other mining products
2022,"4,752",Metal ores and other mining products
2015,308,"Food products, beverages and tobacco"
2016,76,"Food products, beverages and tobacco"
2017,78,"Food products, beverages and tobacco"
2018,135,"Food products, beverages and tobacco"
2019,88,"Food products, beverages and tobacco"
2020,338,"Food products, beverages and tobacco"
2021,254,"Food products, beverages and tobacco"
2022,204,"Food products, beverages and tobacco"
2015,0,Textiles and textile products; leather and leather products
2016,0,Textiles and textile products; leather and leather products
2017,0,Textiles and textile products; leather and leather products
2018,0,Textiles and textile products; leather and leather products
2019,0,Textiles and textile products; leather and leather products
2020,0,Textiles and textile products; leather and leather products
2021,0,Textiles and textile products; leather and leather products
2022,0,Textiles and textile products; leather and leather products
2015,905,Wood and products of wood and cork (except furniture)
2016,962,Wood and products of wood and cork (except furniture)
2017,669,Wood and products of wood and cork (except furniture)
2018,635,Wood and products of wood and cork (except furniture)
2019,499,Wood and products of wood and cork (except furniture)
2020,691,Wood and products of wood and cork (except furniture)
2021,704,Wood and products of wood and cork (except furniture)
2022,722,Wood and products of wood and cork (except furniture)
2015,655,Coke and refined petroleum products
2016,723,Coke and refined petroleum products
2017,713,Coke and refined petroleum products
2018,676,Coke and refined petroleum products
2019,764,Coke and refined petroleum products
2020,922,Coke and refined petroleum products
2021,"1,010",Coke and refined petroleum products
2022,"1,066",Coke and refined petroleum products
2015,"3,340","Chemicals, chemical products"
2016,"3,261","Chemicals, chemical products"
2017,"3,637","Chemicals, chemical products"
2018,"2,483","Chemicals, chemical products"
2019,"3,117","Chemicals, chemical products"
2020,"3,679","Chemicals, chemical products"
2021,"3,369","Chemicals, chemical products"
2022,"3,317","Chemicals, chemical products"
2015,526,Other non metallic mineral products
2016,436,Other non metallic mineral products
2017,888,Other non metallic mineral products
2018,969,Other non metallic mineral products
2019,711,Other non metallic mineral products
2020,397,Other non metallic mineral products
2021,531,Other non metallic mineral products
2022,393,Other non metallic mineral products
2015,"2,884",Basic metals; fabricated metal products
2016,"3,242",Basic metals; fabricated metal products
2017,"3,316",Basic metals; fabricated metal products
2018,"3,199",Basic metals; fabricated metal products
2019,"2,733",Basic metals; fabricated metal products
2020,"2,384",Basic metals; fabricated metal products
2021,"2,781",Basic metals; fabricated metal products
2022,"2,332",Basic metals; fabricated metal products
2015,14,Machinery and equipment
2016,15,Machinery and equipment
2017,17,Machinery and equipment
2018,16,Machinery and equipment
2019,20,Machinery and equipment
2020,15,Machinery and equipment
2021,13,Machinery and equipment
2022,13,Machinery and equipment
2015,"1,023",Transport equipment
2016,513,Transport equipment
2017,"1,116",Transport equipment
2018,868,Transport equipment
2019,"1,006",Transport equipment
2020,899,Transport equipment
2021,700,Transport equipment
2022,706,Transport equipment
2015,0,Furniture; other manufactured goods n.e.c.
2016,0,Furniture; other manufactured goods n.e.c.
2017,0,Furniture; other manufactured goods n.e.c.
2018,0,Furniture; other manufactured goods n.e.c.
2019,0,Furniture; other manufactured goods n.e.c.
2020,0,Furniture; other manufactured goods n.e.c.
2021,0,Furniture; other manufactured goods n.e.c.
2022,0,Furniture; other manufactured goods n.e.c.
2015,356,Secondary raw materials; municipal wastes and other wastes
2016,127,Secondary raw materials; municipal wastes and other wastes
2017,56,Secondary raw materials; municipal wastes and other wastes
2018,92,Secondary raw materials; municipal wastes and other wastes
2019,93,Secondary raw materials; municipal wastes and other wastes
2020,100,Secondary raw materials; municipal wastes and other wastes
2021,114,Secondary raw materials; municipal wastes and other wastes
2022,101,Secondary raw materials; municipal wastes and other wastes
2015,0,"Mail, parcels"
2016,0,"Mail, parcels"
2017,0,"Mail, parcels"
2018,0,"Mail, parcels"
2019,0,"Mail, parcels"
2020,0,"Mail, parcels"
2021,0,"Mail, parcels"
2022,0,"Mail, parcels"
2015,611,Equipment and material utilized in the transport of goods
2016,657,Equipment and material utilized in the transport of goods
2017,598,Equipment and material utilized in the transport of goods
2018,720,Equipment and material utilized in the transport of goods
2019,689,Equipment and material utilized in the transport of goods
2020,746,Equipment and material utilized in the transport of goods
2021,905,Equipment and material utilized in the transport of goods
2022,851,Equipment and material utilized in the transport of goods
2015,36,Other non Market Goods
2016,41,Other non Market Goods
2017,51,Other non Market Goods
2018,54,Other non Market Goods
2019,63,Other non Market Goods
2020,14,Other non Market Goods
2021,27,Other non Market Goods
2022,50,Other non Market Goods
2015,154,Grouped goods
2016,87,Grouped goods
2017,66,Grouped goods
2018,6,Grouped goods
2019,3,Grouped goods
2020,4,Grouped goods
2021,3,Grouped goods
2022,3,Grouped goods
2015,"15,217",Unidentifiable goods
2016,"16,836",Unidentifiable goods
